,Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
16910,16910,1086,72,Pockets not always good,"This tunic is perfect from the waist up. the problems comes in with the pockets. they make the tunic bulky around the hips and who needs bulk there? the tunic is a little more gray in person than what it appears to be in the photo. i usually wear an 8 or a medium. ordered this tunic in a medium and i think it runs just a little big. i may try this in a small. if that doesn't work, i may consider having the pockets removed in the medium. just wish is wasn't so pricey for all the extra work. but i",4,1,7,General,Dresses,Dresses
16317,16317,1081,24,The best dress in the world!,This dress is amazing. i have it in almost every color. it is incredibly comfortable and versatile. you can dress it up or down. love it!,5,1,0,General Petite,Dresses,Dresses
12256,12256,868,35,An immediate return,"The fit on this shirt is bizarre--it very much resembles a nursing top (but wouldn't actually work for that purpose). the side visible in the picture is nicely draped, but the other side can flap open and is completely different. i tried two different sizes and both were equally unfortunate!",1,0,5,General,Tops,Knits
14266,14266,879,34,Great unique striped tee,"Love this top and wish they had more colors in xs, but the sale was too good so they were sold out. i'm 5'10"" 140 lbs, an xs fits great. will go with jeans or leggings.",5,1,0,General Petite,Tops,Knits
22769,22769,854,35,Pretty but too unstructured,The colors are beautiful on this shirt and it is true to size. it is very comfortable but i wish the flowing part on top was pinned under arms or something. it is attached at the top of the tank top but nowhere else so it just kind of lays over the tank with a poncho look.i also think the top layer would look better if it was longer- it hits at my natural waist and i'm petite. i still plan on keeping it and think it will be cute enough with jeans. just really wanted to love it!,4,1,0,General,Tops,Knits
2422,2422,1134,39,"Fabric was divine, but...","I wanted to fall in love with this jacket! i'm an xs or s in retailer brands so i ordered this online in both sizes. when i received it i felt the fabric and immediately loved the color and texture. creamy white (not too stark) and so incredibly soft! the length was the same as on the model which is what i wanted because being 5'2 113# many jackets swallow me. i have narrow shoulders and unfortunately this jacket was too broad and puffy for my frame, and i looked like a marshmallow. the xs was the",3,1,7,General,Jackets,Outerwear
6818,6818,1092,39,"Beautiful, looks fragile but well-made","Love this dress, the colors are stunning, the make is beautiful...i don't know where to start. the body part is a nice neutral color, and has beautiful beading, my concerns is snagging since the fabric is so flowy and the beading pokes out sort of... i love that they used different patterns on the layers, the skirt bottom layer has cute polka dots that are translated on the sleeves (bottom of the sleeves). sleeves, are, by the way, fun and bubble-like. the cut of the dress is not following the b",5,1,4,General,Dresses,Dresses
17200,17200,864,46,Pretty lace detail,"I consider myself fairly busty (34 d), but i didn't have any problems wearing my normal size small/medium.....i actually went with the small. the lace inset doesn't give, but it wasn't tight at all. i love the flow of the blouse....it is going to be a great transitional piece into fall!",5,1,1,General,Tops,Knits
19662,19662,1038,39,Ok,"I thought these would be nice, and they are but then i started thinking that the bejewels will eventually be out of style and these can't be as much of a classic... also, the jewels make the jeans feel heavier. 
fit is like most boyfriend/girlfriend jeans, slightly loose (not as much on me due to muscles) and length on petite was close to what is shown here (typical for me that it is still a bit longer, as not only am i short, but i have short legs for my shortness!)

so if you want that styl",3,1,0,General Petite,Bottoms,Jeans
6848,6848,868,50,Super comfortable and flattering,"I tried this shirt on on a whim in my local store when i was there to shop the sale items an to my surprise, it was very flattering and comfortable. it had a unique fit and design; i tried on the black in an xs (my usual size) and surprisingly, i didn't find it to be too big at all. it fit just like it did on the model. you could almost wear it as a mini dress over leggings/shorts based on the length. like one of the previous reviewers, it would be great if it came in other colors. this top woul",5,1,1,General,Tops,Knits
15387,15387,395,58,Perfect two-piece,"Ok, so who likes to buy bathing suits? apparently i do, because this one arrived today in the white and rust, and i'm buying the black one in a second! i can't pass up such a flattering suit. the ruched bottom gives just enough extra so it's not skin tight to your bottom. and the top has just the right amount of cover. the whole suit is easy to wear, nicely made, and flattering through the roof.",5,1,0,Initmates,Intimate,Swim
16467,16467,123,39,Can go either petite or not,"I tried on te regualr size (xs) as that is all they have in my store, and decided to get them anyway, even if a little long on me. why? because htey are so cute rolled up with the yellow color showing!

super comfortable, have not washed htem yet, but hipefully they remain a decent wuality.",5,1,0,Initmates,Intimate,Sleep
23412,23412,854,32,,Love the look! it's a little tight but i still like it.,5,1,0,General Petite,Tops,Knits
808,808,886,39,,I bought this in black. it's a great long length. i have long arms so the sleeve length is great. it's really soft. only issue is seems to sag a little in the middle instead of being flowy. overall a good tunic.,3,1,0,General Petite,Tops,Knits
4008,4008,1056,23,Super cute pants!,I ordered these online. i usually wear a 4-6 depending on the brand. i ordered the 6 and love the way they fit as i didn't want them tight. they have a lot of stretch and the fabric is nice quality.,5,1,0,General Petite,Bottoms,Pants
17512,17512,1081,47,"Beautiful color, too full in the top","The length is lovely, the color is nice, the fabric feels like silk but isn't (so you can wash it), and the cut is flattering if you're a b cup or below. for me, the pleats on top made my chestiness look like fattiness.",4,1,5,General Petite,Dresses,Dresses
7302,7302,862,27,Adorable classic top,"Very cute, easy to wear, and looks professional! great for work or a weekend. love this top!",5,1,0,General,Tops,Knits
4412,4412,1078,61,Fits very nicely,The most important thing is that my husband said he really liked the dress when i put it on.,5,1,0,General Petite,Dresses,Dresses
23395,23395,630,38,,"This is the best little romper i have ever tried on. i don't typically love myself in shorts but these are so flowing and the pattern is so pretty i couldn't resist. the material is nice and the length is great. i'm 5'6"" and 135lbs and the small fit great.",5,1,1,General,Bottoms,Shorts
13703,13703,873,34,Lovely lace design but sheer,"An retailer associate gave me this to try on since i love white clothing and lace. i tried on a large for my 5'9"", 36c. hourglass frame and found it to be a tad large and probably could go down a size. my thoughts are....
_______________
pros:
- breathable and comfortable fabric due to cotton/linen blend.
- lace detailing at the top is lovely.
- runs tts except i found the arms ran a tad small (and i have smaller circumference). but there's enough stretch.
_______________
cons:
- extremely sheer!",4,1,24,General Petite,Tops,Knits
15558,15558,1044,48,Looks more expensive,"Great pair of work slacks with a flare. wear these with boots give a very rich look. super flattering cut and flat waist.
highly recommend these for fall through winter!",5,1,2,General,Bottoms,Pants
8274,8274,940,31,Nice vest!,Definitely a good buy especially when i bought it on sale! it's warm and can be worn dressed up or down.,5,1,0,General Petite,Tops,Sweaters
14716,14716,832,42,Perfect summer top,"Light weight and cotton, great summer top. runs a little big but it suits me. i'm short and find the straps a drop loose because they're a fixed length meant for someone a little taller than 5'1"" me, but they are not falling down so far. also, if you look at the photo of the model wearing the top in black, you can see through the lace to the bra underneath. if you just wear a bra the same color as the top it's not at all noticeable. great piece for summer.",5,1,3,General,Tops,Blouses
14557,14557,822,38,Love this!,"Such a pretty blouse, drapes nicely though it is a little on the large side. i got my usual medium and had to fix the straps a few times, but a fun summer top that makes you feel super feminine. maybe i could have sized down but i got it online on clearance so i didn't have the chance to try on another size. still love it!",4,1,0,General Petite,Tops,Blouses
3221,3221,1104,48,Absolutely adorable!,"I am in love with this dress and can't wait to wear it to brunch this weekend! i am normally a ps, but they only had the pxs which i took a chance on. fits like a glove. slightly tight in the chest area, but i am chesty for a petite girl. the length is perfect and modest, the detail up front is adorable.",5,1,0,General Petite,Dresses,Dresses
7622,7622,815,41,Just meh...,"I feel like i have a lot of blouses like this so it really needed to wow me to keep it. and while it is lovely, well made and very pretty and delicate...i just didn't feel like it was anything special. if you don't have a blouse like this, then it is a great find. but it is nothing super out of the ordinary... fit i feel is tts...i am in between a m and l...i ordered the l. lots of room in the body although i didn't like where the arms hit on me. they aren't wrist length but they aren't mid-fore",5,1,6,General,Tops,Blouses
9384,9384,1059,41,Very unique and flattering,"I tried this on as a fluke.  i work at retailer and like to see the fit of everything so i can talk about it with customers.  
it is so chic!  it makes your butt look amazing!  i tried it on with nude booties, but i could also see it with a great heeled sandal, or flats.  don't overlook this beauty!!",5,1,4,General Petite,Bottoms,Pants
14409,14409,1078,31,We need more vintage retailer style.,"The print on this dress harkens to the old days of retailer. if you miss the fun prints and whimsical styles, playful textures, and conversational pieces - this dress is for you! at 5'7"", 34c, 27-28 waist, i bought the size 4. runs tts. site claims it's a fit and flare but i think it's more of a sheath cut. the thicker canvas like material has stretch but gives good form. i wear mine as a jumper/pinafore with a white shirt sleeve blouse. my only complaint is that - as a dress - the arm holes are a",4,1,3,General Petite,Dresses,Dresses
22792,22792,829,20,Bee-utiful,Love this top! i typically wear a 4-6 and went with the 6 on this one. the length was better and the the buttons were perfectly closed. i am a 34d. this top looks great with everything.,5,1,6,General,Tops,Blouses
10595,10595,1009,22,Sweet and romantic little piece,"My local retailer had one of these skirts in store, presumably a return. i was so excited when i found out that it was in my size! i'm 5'7 and usually a 2 or 4 at retailer and bought the 2 for reference. the skirt is made of a heavy fabric and the pockets are lined with paisley fabric! the seams look really sturdy and the skirt moves well. it's very cute and super easy to wear. i styled it with brown boots, an retailer belt and a white button down. great for spring/summer xx",5,1,3,General Petite,Bottoms,Skirts
5791,5791,1087,27,"Good idea, poor execution","I really loved the idea of this dress and thought it may be perfect for work with a pair of wedges. but, the first thing that set me off was the color and the material. the color is more street sign yellow than a soft, warm yellow. the fabric is a thin, sheet like fabric that makes the yellow look even cheaper. i was anticipating a thicker shirt-like fabric. when i tried it on, i liked the idea, but the material and the color made me feel like i was wearing costume...or a parachute. i will defin",2,0,1,General,Dresses,Dresses
8351,8351,1047,56,Great native palm pants,These pants are beautiful and so comfortable. the liner is a nice surprise. they can be casual or dressed up with a jacket. i'm so pleased to have gotten them on sale!,5,1,0,General Petite,Bottoms,Pants
9264,9264,1086,44,Hem difficult to judge...,"At 5'4"" i typically order petite clothing...i was unsure of this dress/tunic-shirt from the photos online, the reviews and the hi/low hem. i ordered xs and pxs (about 118#). both fit as far as shoulders and through the body but the pxs was way too short on me to wear as a dress without any leggings. the length of the regular xs works great and i feel is appropriate for someone my age! it is buttery soft and so comfortable. i ordered the suede wrap belt to go with it. also, the sleeves are too ti",4,1,7,General,Dresses,Dresses
5027,5027,1095,23,,"This dress is very cute and well made. unfortunately it was too short waisted for me and runs small in the bust. the arm holes were too big yet the bust small, very weird fit on me. i am six feet tall with 38c bust, maybe if you are shorter with smaller chest this dress will work for you. it has a thin lining and is not see through even though it is white fabric. i love the dress it just wasn't made for my tall figure.",2,0,32,General Petite,Dresses,Dresses
5383,5383,877,66,Darling little basic tee,"I just couldn't resist the western scene and it doesn't disappoint. i ordered size large and although it's a bit long for me, it flows nicely over my hips. i had to try it on with several different bottoms and find it looks great with shorts and skinny or boyfriend jeans. just darling under a jean jacket and cardigan too. the fabric isn't thin or heavy. wasn't it goldilicks who said: it's just right! i love the uniqueness of the print that is just edgy and different enough to translate to great,",5,1,3,General,Tops,Knits
1002,1002,1033,49,Nice quality,"Nice jeans, but had to return. too tight in hips/thighs and big in waist.",4,1,0,General Petite,Bottoms,Jeans
22108,22108,169,24,,,5,1,0,Initmates,Intimate,Legwear
20868,20868,1078,36,Good quality for the price,"I purchased this dress in the red/orange color and was impressed by the quality of the fabric. the waist sat a bit higher on me that in does in the picture, so it looks much more like an empire waist on me.",4,1,0,General,Dresses,Dresses
11225,11225,375,42,Versatile jacket,"This caught my eye in the store last week, and i decided to try it on. it's the perfect lightweight jacket. the photos here show it as activewear, but i think the details on it allow it to be much more versatile. it's very flattering and i found it to run true to size.",5,1,0,Initmates,Intimate,Lounge
456,456,149,33,The most comfortable pants ever,I have these pants in navy and they're amazing! i cuff the hem in half and they look like joggers. they're ridiculously comfortable and tts but are not very thick so i'm pretty sure ivory would be see through; especially if you wear them during practice.,4,1,0,Initmates,Intimate,Lounge
12429,12429,839,28,Very detail lace and beading design. comfortable!,"I was eyeing this blouse when the catelog was mailed to me earlier this year. i never got a chance to try it on in stores, but when i saw it online and on sale i snagged it. what i didn't realize was the intricate design of this blouse. ithas really pretty lace all over the top and then fine beading securely sewn on. the blouse has crochet sleeve designs and also a very pretty neck bib area. it fits me tts and very comfortably. i love the airy feeling of it and it actually also isn't too long on",5,1,0,General,Tops,Blouses
11097,11097,829,39,Really pretty!,I tried this on in the store and decided to order a larger size online. the fabric by the buttons is very thin so any pulling will cause tears the one i tried on in store was shredded by someone else trying it. i'm a 34 dd and bought a 14. before trying it on i noticed the fabric is already pulling a little right out of the package. trying to decide if it is worth keeping or will be destroyed from wearing.   it really is very cute on.,3,1,0,General Petite,Tops,Blouses
20590,20590,1059,36,Perfect so far...,"These pants are very cute for spring/summer, and i enjoy having the option of a looser silhouette with a bit of length (nearly all of my pants are a cropped skinny these days!). i agree with the other reviews that have described the leg as being less straight-legged than they are pictured. on me, they have a subtle flare -- nothing major, but just enough to break perfectly over my shoe. they fit tts on me, but i did need to have the hem taken up. i'm 100 lbs, 5'0 and the 0p fits perfectly. i hav",5,1,5,General,Bottoms,Pants
8428,8428,1054,36,This makes you feel divine,"I noticed this outfit earlier this year and remarked to my husband how heavenly it was. i couldn't bring myself to buy it since i shy away from strapless outfits (this lady is a small chested diva). to my delight- my wonderful husband remembered my gushing, and surprised me with this outfit for christmas! imagine a 33-year-old dancing around the house holding up this outfit - because that is what happened. this outfit it truly a work of art. it has a lined bodice with soft boning that fits perfe",5,1,0,General,Bottoms,Pants
749,749,886,34,Just perfect!,"This top has a comfy cozy feel while still being flattering. i especially like the generous neckline--adds a uniqueness to it. great shirt for dressing down, but still feeling feminine. i bought two! my husband always compliments me when i wear it.",5,1,5,General Petite,Tops,Knits
1828,1828,1080,43,"Really wanted to like it, but...","I really wanted to like this dress and was so disappointed when it came in the mail. if you have any sort of hips, the light pattern in the middle doesn't do you any favors. this made my hips look soooo wide! and the seaming and gathering in the middle was just off. if it was one continuous piece of fabric it might look better. with the seam, the pattern was cut up and looked pieced together. that just drew too much attention to my stomach and hips. it had to go back.",1,0,0,General,Dresses,Dresses
8044,8044,936,68,,"My daughter bought this sweater in xs in white and i tried it on. it was a little too tight but long enough to wear with leggings so i ordered the red in a s. it just covers my butt in the back - not nearly as long as my daughter's. i still love the sweater and will wear it with jeans but it is way too short to wear with leggings. i don't understand how there can be such a difference in the same sweater - a size larger and at least 4 inches shorter! if not for that, i would have rated it a 5.",4,1,0,General,Tops,Sweaters
10364,10364,1039,44,Don't bother,"These are terribly unflattering the wash looks dirty and the rise is not 10.5 like the description says, which is the only reason i gambled on these it is 13"".",1,0,0,General,Bottoms,Jeans
9313,9313,1086,28,Wanted to love this - not for my body type,"I wanted to love this dress. i pre-ordered it and waiting 2 weeks for it arrive. when it arrived the dress was much more pleated than i thought. i'm not sure if i misunderstood the images, but i did not know the dress was going to being pleated all over, i just thought that the fabric had a texture. the print is adorable but the shape of the dress was not flattering on me. i am pretty straight down with somewhat wide hips, but the fabric of the dress made me look larger than i am. i think this w",3,1,7,General,Dresses,Dresses
1938,1938,1197,68,Perfect every day neutral,"So glad i ordered this dress. it fits true to size and is extra soft. i was unsure about the color, but it looks nicer in person. the fabric is a mid weight that hangs nicely. this will go great with leggings or tights and wear into spring.",5,1,1,General,Dresses,Dresses
17551,17551,1110,27,,,4,1,0,General,Dresses,Dresses
12384,12384,822,45,Subtle bohemian,"Usually the whole boho style looks funny on me, but the cut and print were subtle enough for me to pull it off. the colors are beautiful - probably flattering against any hair or skin tones...i took my usual small because the shoulders were generous enough. word of caution - this is dry clean only.",5,1,2,General,Tops,Blouses
5121,5121,823,66,Nope,There's a reason the model is holding her arms up in all the frontal views. it hides the very weird wide top part of the sleeve that absolutely destroys and distorts an otherwise beautiful blouse. the print is lovely but the fit is very odd. it's pulls at and is very tight through the bust too. i wear medium or large and ordered size large. if you're less well endowed this might be an okay choice for you. but i have to say this blouse made me look overweight and very wide. returned.,1,0,0,General,Tops,Blouses
9405,9405,1030,47,Mother cords,"This is my second pair of these because they fit and fell so good. pricey, but worth it.",4,1,0,General,Bottoms,Jeans
6737,6737,1053,36,Versatile joggers,"Great quality and cut! they are so versatile, which i love! highly recommend these!",5,1,6,General,Bottoms,Pants
7459,7459,862,39,,,3,1,0,General,Tops,Knits
20223,20223,1078,38,Lovely dress and fit,"This dress is extremely flattering on and looks a lot better when worn than on the hanger. the cut drapes very nicely and is true to size. i am 5 feet tall / 95lbs and the xxsp fit perfectly. it is a bit short however, so i would caution that it may not be work ""office"" appropriate if you are taller. like most hd in paris dresses, it is also quite thin although lined. this dress would look lovely with a either delicate jewelry or a bold statement piece and is casual enough for a lunch outing or",5,1,12,General,Dresses,Dresses
13244,13244,1078,38,"Comfortable, easy dress","What i love especially about this dress are the comfortable, soft fabric and the shape of the back -- the scoop and longer back hem are very ballet dancer! the green & off white print is very pretty for spring. sizing is a little tricky for me as i'm between petite and regular sizes. the hem length in the sp is perfect, about 1.5"" above the knee in front, but the waist sits a little high. the top seam of the waist section is above my natural waist, and the bottom seam sits right under my navel s",4,1,0,General,Dresses,Dresses
1983,1983,862,61,,"It's a lovely and unexpected sweater. a few things to keep in mind- 

- the knit details are beautiful- the pictures don't do it justice.

- it's pretty lightweight.

- the color is a little darker than the picture shown- it's a very dark plum

- it runs bigger- this is the only retailer sweater where the sleeves of a m are a little to long. 

- the style is decidedly casual and ""slouchy"". it looks great with jeans, but don't plan to dress up an outfit with this piece.",4,1,6,General,Tops,Knits
14159,14159,1129,43,Love this coat!,"It was bit on pricey side but it was love at first sight! i couldn't let go after i tried it on..it is soft, lightweight, moves with me, keeps me warm (not just from top up)..it feels silky to the touch and is very versatile and stylish..

runs true to size and it expands a bit the more you wear it ...",5,1,2,General,Jackets,Outerwear
2890,2890,863,58,,"I think this top works best for a petite person. i am 5'1"" and 106 lbs. the xs is perfect for me. i love it so much, i purchased it in more colors. i machine washed and line dried. it washed beautifully.",5,1,7,General,Tops,Knits
2824,2824,984,34,,,4,1,0,General,Jackets,Jackets
642,642,1059,38,Great staple,"These are great pants. i love the fit and the taper of the leg. these will be my ""go to"" black pants for the fall season!",5,1,0,General,Bottoms,Pants
5470,5470,909,43,Soft and flowy,I love this pullover. i felt it was a little wide at the bottom but i received lots of compliments on it. i ordered a large because i did not want it tight around the bust (i wear a 36j bra) and biceps but i think i would have been fine in a medium.,4,1,0,General,Tops,Fine gauge
13670,13670,967,51,Tight under arms,"This jacket was cute, however, i am normally a large with a bit of room to spare.  this has the irritating issue of not fitting under the arms and across the chest and shoulders.  it is not my shape as most other brands at retailer fit me. this jacket is not sized correctly.",1,0,1,General,Jackets,Jackets
17695,17695,1092,24,Lovely dress,"This is such a cute dress, and i don't know why know one has reviewed it yet. its different and fun, i have worn it to work once and have gotten several compliments on it. i found that it does run a bit short so i wore it with leggings.",5,1,12,General,Dresses,Dresses
7669,7669,1009,43,Worth every penny!,"I bought this skirt in my local store when it first came out. i have to say it is one of my best retailer purchases ever. fits beautifully. works with a tee, tank, denim shirt, and more! i get so many compliments every time i wear it. will be wearing for many summers to come! runs tts. i am 5'10"", 155 pounds and the 8 fit perfectly. it is not too short for work, but my legs do need to be tan to wear it.",5,1,0,General,Bottoms,Skirts
9928,9928,860,52,Fun andfestive,Fancy and fun. i love the green and the texture. shiny outside and soft inside. flattering fit and a little whimsical and dressy or casual.,4,1,0,General,Tops,Knits
2097,2097,1072,39,Obsessed,"I've already worn this dress 4 times and i bought 3 weeks ago. easy to wear, comfortable and flattering. i love and wish it was available it more patterns.",5,1,1,General Petite,Dresses,Dresses
1297,1297,1095,34,Size up if busty,"I agree with the other reviewer that the color isn't as pink in person and more subtle. my thoughts below on some other things:
__________
pros:
- pockets! makes it so fun and chic with the overall style.
- the material is lovely and breathable. i didn't find it sheer at all! of course, i didn't wear it outside the dressing room. the material is thicker but it hangs on the body well.
- runs ""mostly"" tts. i only tried on the medium and it fit everywhere being slightly tighter in the chest. i",4,1,19,General,Dresses,Dresses
15827,15827,1092,31,Design flaw,"I had such high hopes for this dress, but unfortunately it misses the mark completely. the design is flawed in that you cannot raise your arms to shoulder length. for someone who is 5'3, 105lbs, the dress has no shape and looks like something from zoolander's derelict campaign. i think one must have a specific body type for this dress, but regardless, they'll have to keep their arms at their sides.",1,0,13,General Petite,Dresses,Dresses
7641,7641,854,26,Like it but armholes are too big,"I like this top. it went well with my olive pant. i tried in l and xl. l was a tad fitted around my tummy. xl armholes were too big and neckline was too low. i really wanted to keep this top but the low neckline just didn't work. i am busty, perhaps it may work better for a slender frame. i recommend this top because it is pretty, but the fit is selective, so its best to try out a couple of sizes first.",3,1,0,General Petite,Tops,Knits
2724,2724,1094,62,Gorgeous but super overpriced,"Yes, this is a beautiful print and fits perfectly...but it's unlined thin polyester. full price is pretty ludicrous on this one. tts, but might need to size up if you have a larger chest (no stretch). hoping to grab on sale.",4,1,1,General Petite,Dresses,Dresses
10571,10571,1080,39,Very femme,"I love tracy reese designs because they are so feminine and figure flattering. this dress almost hits the target, it's just a bit off on the bodice, especially at the back and sides. the pleating balloons out too much. i'm sure a little tailoring will fix this, it's up to the buyer if that's worth the money to do it. for myself, i'm just wearing a thin cropped cardi to hide the billow. since petite was sold out, i took a regular size 8 which is the smaller of my size range. the length makes this",4,1,0,General Petite,Dresses,Dresses
18719,18719,1068,44,Soft but requires ironing,"Sporty, comfortable and good option to replace jeans, however material needs to be ironed. i bought these as a nice (dressier) alternative to jeans on my trip to europe but didn't end up wearing them b/c an iron wasn't readily available and the height of my ankle boots made the style look choppy. best to wear these with shoes that don't come above ankle.",4,1,0,General,Bottoms,Pants
10840,10840,1110,33,Great find and buy,"I was doubtful when i first tried this on. the holding horses brand tends to not quite fit me very well, more so in dresses than tops. also, it looks cute but not great on the hanger. this a must-try-on dress. it's just flowy enough to not look sloppy or maternity, but also feel easy to wear. the print and cut are flattering. it has pockets!!!! also, the length is nice, close to knee length. the fabric is good quality. doesn't wrinkle easily. i'm surprised how quickly i fell in love with this dr",5,1,5,General,Dresses,Dresses
19143,19143,997,57,Classically contemporary,"Love this skirt! i enjoy being trendy, but i love the retro vibe. can be dressed up, or worn to work.",5,1,0,General Petite,Bottoms,Skirts
17484,17484,1081,26,True love,"I saw this in the retailer catalogue and knew i had to own this dress. everything about it speaks to me on a cellular level. the colour, the shape, the drape, the hem, !!!! and the little side stripes. be still my heart. i went into my local store and picked up the dress in xl and l to try on. i'm.... currently a new body shape because of too many burgers, a sports injury, and not enough cardio, so i figured i should size up for a moment. uh no. the xl was like a tent. fabric everywhere. i pulled",5,1,7,General,Dresses,Dresses
8933,8933,1001,59,So tweet!!,"I love this skirt! i know others have thought it frumpy, maybe it's because i'm so long waisted but this skirt is perfect for me! not too long not too short but just right! the fabric print is beautiful a mix of muted and bright colors. the fabric quality is nice but nothing overly outstanding. still i'm glad i ordered it before it was gone!",5,1,0,General,Bottoms,Skirts
8844,8844,1094,33,Great fit!,"I love this flirty, well fitted dress! quality material!",5,1,0,General,Dresses,Dresses
4506,4506,1095,73,Perfect summer dress,"I ordered this dress on a whim because of the lush colors and the sale price. to my amazement, it has become one of my go-to dresses. it is far more handsome and flattering in person. i ordered a m for my 5'9"" and 36c frame and the fit is perfect. contrary to how the back of the dress is shown on the model, the back is not straight, but flows whimsically thereby adding to its famine appeal. at this price, it's a no-brainier purchase.",5,1,0,General Petite,Dresses,Dresses
2620,2620,829,49,Great fun top,"Nice quality, not too thin like most white tops and the arms are cut just right. perfect length too.",5,1,3,General Petite,Tops,Blouses
7418,7418,820,19,Tight in arms and bust,"So i really like this top. not my usual choice, but i'm trying to branch out. really like the top (i got the white one because they had it in my size). only thing is i could have sized down but arms/shoulders/bust are super tight so i went with the larger size. i got mine on sale and a button had already fallen off the back so forewarning that may be a problem in future.... 

but overall i really like this top.",4,1,0,General Petite,Tops,Blouses
15689,15689,907,39,Can;t decide on color,"I ordered both colors in the xxs p knowing that size goes fast. i used to wear xs or xs petite consistently, but this last year, i have found myself needing the smaller size (vanity sizing?) in this case, the xxs p was perfect for me, length was around mid-thigh (could almost wear as a dress if i were younger and not as muscular in my thighs), the waist and chest are fitted but not snug (fitted in the sense that it follows my natural curves). the flower patterns are so cute, it does cut at the p",5,1,11,General,Tops,Fine gauge
12129,12129,964,19,Great layering piece,I bought this vest hoping to be able to throw it over long sleeve tops for fall and it's perfect for that- it adds a bit of detail with the buttons and pockets on the vest!,5,1,0,General,Jackets,Jackets
6090,6090,828,48,Soft grunge,"I wear ddd so i do wear a strapless with this and it looks great. the plan looks fantastic with any color wash of jeans. i
love it",4,1,2,General,Tops,Blouses
9044,9044,824,34,,"Looks great on the picture but when it arrived it was a great disappointment, both the colors and style. the material seems great quality but it's stiff and scratchy, the style is very boxy, and as another reviewer said, just hung. i'm a brunette and the colors looked terrible on me. back it goes.",2,0,0,General,Tops,Blouses
