,Unnamed: 0,Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
11005,11005,990,39,Great comfy basic,This skirt is perfect! it just pulls on and lays nice and smooth. the fabric is soft and just the right thickness and stretch. i wore it with black tights and knee high boots for new year's eve and had many compliments! it runs a tad big. i am about 130lb and the small fits great although a tad larger than i would have expected. i assume it might srink in the wash a little anyway. my new favorite!,5,1,1,General,Bottoms,Skirts
1834,1834,1026,33,5-star fantastic!,"This is my first ever review! these pants are 5-star fantastic. ordering additional colors because i love these so much and am finding i want to wear them every day. i initially ordered the bronze color which is superb, just beautiful. i was worried it might be too bright to wear to work, or be a different hue in real life, but they look just like the picture. to my happy surprise they dress up easily. it's a really rich color that i have been able to pull off at work with long sweaters and boot",5,1,0,General Petite,Bottoms,Jeans
11622,11622,862,32,Not quite what i expected but i'm keeping,"This top is a mix of materials - a silk and more of a t shirt material. i purchased for dressier wear but the material makes it more casual. i like the sale price so i'm keeping!  size down, runs a tad loose.",4,1,0,General,Tops,Knits
2612,2612,1085,56,Not a rich style...,"The fabric and its texture didn't meet my expectations unfortunately. there were too much fray and cast-off of edge yarns of a fabric... 
however this will fit if you wear over the swimming wears.",2,0,4,General Petite,Dresses,Dresses
1494,1494,1066,33,"Nice fit, nice quality","I have a small collection of retailer pants for work, and this pair fit neatly into a hole-- i don't have a fun, patterned pair. i am short (5'2"") and definitely needed a petite to get the crop to land in the right spot. my usual 0p fit perfectly up above. the flare seems a bit more pronounced on me than in the picture. the fabric is nice quality, smooth and medium weight with a bit of stretch, and i like the fact that these are machine washable. this gal has other things to do with her life besid",5,1,5,General,Bottoms,Pants
3866,3866,860,46,Pretty tank,"I ordered the ivory in size xl. it is such a cute, comfortable top. all of the details are well-done. the quality of the material is great too. it's a flowy fit. after washing & air-drying, it does shrink a bit. great tee for summer!",5,1,0,General Petite,Tops,Knits
11416,11416,1074,57,"Pretty, flown dress","This is a very light, flowy dress. the lining is very fitted, but the dress is actually not fitted. it has a nice flow, but hits right at the thigh area before flowing out. plan to wear it to work.the color is very bright and pretty.",3,1,2,General,Dresses,Dresses
11501,11501,941,35,,Love love love this sweater! lots of compliments as well :)),5,1,1,General,Tops,Sweaters
8403,8403,1074,41,Fall dress,I think this is the perfect fall dress.  i did not have the cleavage issue because i am going to wear the little button buttoned at the top.  i like the sleeves can be pushed up or down depending upon your weather.  i thought it be very slenderizing.   i am thin on top but curvy on the bottom. i'm going to wear it with closed toe wedges but if my legs were thinner i think tall boots would be pretty.,4,1,0,General,Dresses,Dresses
20135,20135,520,52,Could be great,"I have bought 4 of these, but after 1st wash on 2 of them and they were in a lingere bag, there are little holes on the front of each, now they are bum around shirts. if they go on sale i will purchase, but the material needs to be better.",4,1,1,Initmates,Intimate,Layering
17811,17811,936,40,,"Perfection. effortless cool, and the colors are much more vibrant and gorgeous in person. endless options. you know a sweater must be a dream if you end up buying it when it's still 90 degrees outside. runs true to size---the medium fit with room to layer underneath.",5,1,9,General Petite,Tops,Sweaters
108,108,836,23,Perfect fall shirt!,"The shirt is exactly as it is pictured, i have the burnt orange color and love it! i received numerous compliments both paired with jeans and tucked into a fun skirt. it fits true to size, as i normally wear a small in all retailer however it is the slightest bit tight in the shoulders. i would give this top a 5/5.",5,1,3,General,Tops,Blouses
10804,10804,907,67,Perfect little sweater,"This sweater is just the cutest- sweet and feminine with interesting details especially in the back. it's very figure flattering worn closed (there are 3 adorable little buttons) or it can be worn open over a dress or a cami.
it runs very small, i usually wear a small or extra small but i bought this one in a medium, mindful of the reviews. i'm so glad i did since in addition to running small the sweater did shrink a little when i washed it even though i hand washed it in cold water. it wasn't a",5,1,1,General,Tops,Fine gauge
673,673,634,39,Great price for,"Sale price is a great price for a cute cover-up.  so this is not a polite company dress.  this is a ""i want to show off my cute underwear/bikini/cross-fit bod while i go get a cold pressed juice in venice"" kind of dress.  or you can just wear it at home like i do.  runs small btw, so size up.",5,1,0,General Petite,Intimate,Lounge
70,70,845,38,"Cute, but massive sweep","This top is so cute, but it is massively babydoll shaped (a- line) which is not apparent from the pictures. i measured the xs i have and the chest is about 42"" and sweep is over 70"". i would definitely keep this top if it hung straighter. the craftsmanship is lovely and fabric is so natural and handwoven looking. i'm thinking about asking my tailor if she can take the sides in, but that might ruin it as the fabric layout is cut and proportioned to this swing style.",4,1,10,General Petite,Tops,Blouses
21670,21670,1008,41,Tons of compliments,I wore this skirt immediately when my delivery arrived. nothing but compliments. i went right back to order the green and it has sold out. bummer - i would buy every. single. color. this skirt is that great!,5,1,0,General Petite,Bottoms,Skirts
10595,10595,1009,22,Sweet and romantic little piece,"My local retailer had one of these skirts in store, presumably a return. i was so excited when i found out that it was in my size! i'm 5'7 and usually a 2 or 4 at retailer and bought the 2 for reference. the skirt is made of a heavy fabric and the pockets are lined with paisley fabric! the seams look really sturdy and the skirt moves well. it's very cute and super easy to wear. i styled it with brown boots, an retailer belt and a white button down. great for spring/summer xx",5,1,3,General Petite,Bottoms,Skirts
17352,17352,862,33,,"I really love this top; i got the ivory and now i will probably get the black too. if you get it in your normal size (i'm almost always an xs and got this in xs), it's fitted and flattering. the seam across the sternum makes it feel like an empire top which always seems to look good on me. it is fitting in the chest and arms. it's really lightweight and has 1/2 sleeves so i will wear this even in summer.",5,1,4,General Petite,Tops,Knits
21870,21870,826,27,Adorable everyday look!,"This blouse is great to wear almost anytime! it can easily be dressed up or down depending on the occasion and the accessories. it has a bit more volume around the waist then the picture shows - but that could be because i'm bit more ""well endowed"" than the model. i'm 5'0 and size m/8. this shape looks great on my curves without making me look chunky or stout. the image makes the color look black, but in person the color can pass for a really dark blue in some light. the textile of the fabric is",4,1,0,General,Tops,Blouses
7802,7802,872,50,Comfy & classy,"Love this top! love that it ia jersey knit which makes it comfortable. love the print which makes it stand out. love the design of a side bow. i did not have an issue with the banded hem, in fact i like how it makes the top more structured.",5,1,0,General Petite,Tops,Knits
17941,17941,909,38,"Beautiful blue color, great design, snags easily","This pullover is a beautiful deep blue color with a unique, relaxed design. when i first bought it, i found a snag on it and had to exchange it. the new pullover didn't have any snags, but did have a hole along the seam. i really like the pullover's relaxed fit and unique design, but the fabric doesn't seem very durable and is prone to snagging. time will tell how well the fabric holds up.",4,1,0,General,Tops,Fine gauge
3425,3425,854,44,So pretty...,"Haven't worn it yet, but i am loving this top. it is much prettier in person. i sized up to a med based on reviews and it looks like it runs small. i didn't try it on until i got home and probably could have done ok in a small but will keep the medium so it's not tight across my chest. the knit material that makes up the arms and back is thin, which is my only complaint. if it was slightly thicker it would look nicer and i'm sure wear longer. i'm happy with my purchase-the colors, fabric, embroi",5,1,0,General,Tops,Knits
22786,22786,335,37,Wearable art,"Love, love, love these leggings! a soft, colorful, comfortable way to show your artistic flare.",5,1,5,General Petite,Intimate,Lounge
14844,14844,1110,39,,"I actually love this dress.  the colors on the dark gray are mesmerizing.  the design of the placket adds a special touch to the look.  my issue is the way it looks on my body--not flattering.  i already have a squarish apple (squarple?!) body and the cut emphasizes this more.  i was hoping the fabric would hang on me the same way the ivory dress on the curly haired model does, so i sized up.  all this did was make me look wider, especially at the shoulders.  the drawstring at the elastic makes",3,1,7,General,Dresses,Dresses
12842,12842,1059,36,Beware the butt sag.,"These pants are the perfect color, and i love the detail of the zippered pockets... i was so excited when they came in the mail and fit pretty well. they were slightly loose, but i thought they would hold their shape and the size smaller would be too small. after an hour of wear, i was swimming in these! i can almost pull them down without unzipping them and the seat of the pants looks particularly, um, saggy. i am in-between a 4 and 6, and since the pants are detailed as slim fit, i thought it",2,0,5,General,Bottoms,Pants
15013,15013,1163,46,,"I am not sure where all of the other reviews on these pants went, but when i ordered mine, there were mostly all good reviews. i absolutely love these lounge pants. someone mentioned that they thought they were a little itchy where the lace is but while they may not be the softest pants ever, they are certainly very comfortable, not itchy at all. i am 5'6"""" 140 lbs and i ordered the medium. the fit was a little snug at first but, as i wore them, they stretched and loosened. i also wear them with",5,1,0,Initmates,Intimate,Sleep
21859,21859,825,26,Beautiful tunic!,"I am absolutely addicted to tunics. so, when i saw this on sale, with an extra 30% off, i went for it. i'm glad i did! it's absolutely beautiful. i love the opposing stripe patterns, the hi-lo feature (very subtle), and the tie back. so cute!

if you're petite like me, though, you may want to wear something underneath--it does cut a bit low in the chest area.",5,1,0,General Petite,Tops,Blouses
20372,20372,1059,69,Love these pants!,"So so cute. i am 5' 7"" 150-155lbs and the 10 fit me perfectly. i expected the m or 10 to be too small. wore them the first day i received them. i have a large waist 34"". hips about 39"" and the 10 fits great, not tight. love the material and the workmanship is tops. i think they are a great buy especially on sale. wore them with a hei hei jacket also on sale, can't get much better.",5,1,0,General,Bottoms,Pants
13373,13373,1072,35,"Great dress, poor stitching","After the second wash, the stitching in the armpits completely fell apart. after sewing it back up, wearing it, and washing it a third time, the stitching in the other armpit completely fell apart as well. not sure if this was just a fluke, but it was very disappointing. now that both armpits are sewn and all other stitches are intact, i must say that this is a great dress. i would have returned the dress to retailer, but i've already washed and worn it, so again...very disappointing. i would say",2,1,2,General,Dresses,Dresses
13094,13094,1037,41,Awesome retro cords!,"This is my first pair of pilcro pants but defiantly not my last. i always have a hard time trying to decide between a regular length and a tall because at 5'10"" i usually fall somewhere in between. i ordered the regular length and couldn't b happier, they are just long enough to wear a shorter heal with or a pair of flats. the beige color is really nice and pairs nicely with the sky blue mock turtleneck sweater i also ordered from retailer. i love the retro 70's style too! i couldn't be happier wi",5,1,0,General,Bottoms,Jeans
11772,11772,865,29,Obsessed.,"I would wear this everyday if i could. the red color is so rich and the cut and structure of the top is perfect and flattering. i've worn to work, out, or dressed down with jeans and flip flops.",5,1,0,General,Tops,Knits
8566,8566,964,52,Functional and fab...in one piece,"I am really impressed with the workmanship of this jacket as well as the ""fit."" it really does fit me well and has a ""cool"" look. the quality is really worth the price. thank you retailer!!",5,1,0,General Petite,Jackets,Jackets
20706,20706,833,54,Love,Finally got cold enough to wear this shirt. i love it...got lots and lots of compliments. great quality,5,1,0,General,Tops,Blouses
17483,17483,831,48,Just what my closet needed,A sweet tunic with the distinctive lace hemline. the length is great - just right to wear with skinny jeans or over leggings. not too long but long enough for comfort over leggings! more of a boxy fit (just as expected). wore it with my skinny jeans and short boots and got many compliments.,4,1,1,General,Tops,Blouses
20798,20798,1078,39,Amazing dress,The pictures don't do this dress justice. it is fantastic! the fit is perfect and it is super comfortable while still looking polished. a must have dress!,5,1,0,General Petite,Dresses,Dresses
16532,16532,1081,48,Nice but runs really small!,"I was very excited to receive this dress (online only so had to have shipped.) the colors are classic primary as shown. the outer fabric is heavy and canvas-like, but the lining is white nylon-ish. the length was good. the dress is nicely lined but sadly runs very small in the bust. i am a size 8 and a 34b and this dress was too small for me. i rarely have this issue. sadly, it's going back. i should have waited to read reviews and sized up. fyi the belt has a look that appears worn similar to p",4,1,9,General Petite,Dresses,Dresses
5214,5214,1035,40,,"These jeans are great, however they are very long. i am 5'4 and i should have ordered a petite size. even though i never have to buy petite size pants. wish they made these a bit shorter.",4,1,0,General,Bottoms,Jeans
4275,4275,1086,33,Perfect for year-round work comfort,"Soft, comfortable, flattering - great for spring, summer, fall, and wear a tight black long-sleeved tee underneath for winter! not form-fitting, even if you size down.",5,1,0,General,Dresses,Dresses
14234,14234,867,53,Would definitely recommend,"This top is just as pretty in person as it is online. i usually buy petites, but ordered this one in the regular length and i'm glad i did. perfect on me at 5'2"". my usual size medium fit great everywhere else too. love their fabric choice as well. i'm getting really tired of the thin cottons and slub jersey materials being used so often now. deletta made my day once again!!!",5,1,18,General,Tops,Knits
3424,3424,898,68,Very pretty sweater with nice detail,"This is a very pretty sweater and the neutral color works well with everything. the detail in the back makes it unique. it runs large though, so size down. the sleeves by the cuffs do tend to stretch out easily, but it washes well, so it's not a big issue..",4,1,0,General Petite,Tops,Fine gauge
11809,11809,865,24,Unique+flattering+easy,This top is great for those days when you have nothing to wear. just throw this on and get ready for the compliments!,5,1,1,General,Tops,Knits
19032,19032,980,26,Lovely piece,"The look, quality, and feel of this jacket is perfect. it does run a large so i would order a size down. i definitely worth every penny.",5,1,3,General,Jackets,Jackets
10938,10938,1083,39,Pretty but short,"I tried on the 00p in the store as a return, adn though it would fit (super stretchy)hte dress ended up mid thigh for me... gorgeous design and make though, the buttoning is incredible, buttons and clasps to keep the dress closed. love love, wish htey still had my size (0p or 2p ) to try if hte length would be better (or regular size)",4,1,0,General,Dresses,Dresses
2704,2704,282,29,Perfect shorts,I absolutely love these shorts and have them in 3 colors. they are a great price point and comfortable fit. be careful with washing as the darker colors seem to bleed.,5,1,0,General,Bottoms,Shorts
11092,11092,829,50,Soft beautiful top,This blouse is gorgeous on i purchased at my local store i noticed it was $29.99 + 30% = $21.00 omg it's so nice on it's soft and comfortable and the gold threading make it sunning it does run a little small in the chest area,5,1,0,General Petite,Tops,Blouses
16875,16875,1104,41,Just meh,I was excited about this - - such a lovely look online. but on me...it was just meh. i'm a little heavy right now so that could be playing into it...but i will say i loved the top part of the dress. very flattering and subtly sexy. but the bottom..it just hangs like a rag. it needs either more material for a swishier effect...or it needs to be a different material. or maybe knit just doesn't work on me in the form of a dress! the knit is nice but i kind of also feel like it is chintzy...i can't,3,0,1,General,Dresses,Dresses
21708,21708,872,51,"Gorgeous colors, beautiful design","I loved the fit and design so much that i splurged and purchased all three! the lavender has a blue tinge to it that makes it really unique. the coral is a little on the neon side but i love that and it's a great color for summer. i'm waiting for the white to arrive and hope it's actually white and not ivory, as retailer colors are sometime a little off. i'm petite and order the xxsp which fits like a dream. not too tight or loose, super comfortable and flattering. easy to pair with white, khaki,",5,1,7,General,Tops,Knits
5069,5069,1059,56,Cute but stretched out in minutes,"I thought these pants were cute! when i put them on, they fit perfectly, and were comfortable, however i wore them for about 20 minutes and they were a completely different size, and looked awful!",2,0,2,General,Bottoms,Pants
1287,1287,1095,23,"Lovely, unique and odd","I really wanted to love this dress. two lovely associates paired it with the desideria bib necklace and the black dakota cardigan, which gives the outfit definition and elegance. but the dress by itself would have needed altering to fit my 34-b top. i chose size m because of the length-- the small was 1 1/2 "" shorter in front (i am 5'8"") in the end, i realized i would probably choose my other favorites from my closet. but it will be stunning on the right person.",5,1,6,General,Dresses,Dresses
20709,20709,945,39,Wish i could keep,"Beautiful sweater, unique knit mix and i love the color, but the fabric is too itchy. i was wearing a long sleeve dress underneath but the yarn was prickling my arms, bum and thighs.  colorblock patchwork arrangement made me look extra top hefty and emphasized my trouble spots (upper back/arms).  i ordered lp but it was too large so would recommend staying tts.",4,1,0,General,Tops,Sweaters
20765,20765,1100,27,Beautiful but runs big!,"This dress is lovely- exactly as pictured on the site. love the colors/pattern and received so many compliments when i wore it to a brunch party. could easily be dressed up for an outdoor wedding. it definitely runs big- i am usually an 8/10 and originally ordered in a large. was way too big, so had to exchange for a m and there was still some room. make sure you size down!",5,1,4,General Petite,Dresses,Dresses
2238,2238,872,25,,I love these shirts. ordered in 2 colors and they are great with leggings and skinny jeans and scarves. so comfortable and on me a little long but not too long!! the fabric is fabulous and a great weight. one of my favorites for sure.,5,1,1,General,Tops,Knits
6944,6944,860,37,,This is my new favorite shirt. i'm actually wearing it today! i had to order another in white too. grab it while you can!,5,1,0,General,Tops,Knits
5707,5707,1078,51,This is a cool dress with one issue...,"The linen makes it a big wrinkly mess. i tried it on and just the act of trying it on, made it so wrinkly. i would have bought it in a second had it not been for that. love the mango color..i am in-between a 2-4 and went with the 2. i'm 5'3 and the length was a few inches above my knee...there is also a separate slip attached.
bummer.. maybe this won't bug some people but it would drive me mad. :-)",4,1,2,General,Dresses,Dresses
13680,13680,1088,38,Waist doesn't stretch and no zipper,Bought the dress online and it only has an eye and hook at the top. the waist has no stretch and their isn't a zipper. you have to be a contortionist to get it over your head and shoulders. so cute in the pic but not realistic. going back.,1,0,11,General Petite,Dresses,Dresses
8518,8518,651,33,,"This is a very nice bra, upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.",3,1,0,Initmates,Intimate,Intimates
4938,4938,865,45,Finished touch in one piece,"This top is so darling, the different textures are so elegant that you really don't even need to accessorize. it has a very flattering cut and a must for any figure.",5,1,1,General,Tops,Knits
2916,2916,1125,41,Statement piece,"This coat won't take me through a cold boston winter, but i will be willing to sacrifice a little warmth in order to take this beauty out for a night on the town. it's chic, slim, elongating and bold. it looks fantastic paired with some bold tall boots and solid colors underneath. as for sizing, i tend to disagree with most ""runs small"" reviews, but this baby runs small. especially if you really do live in a cold climate and intend to wear something substantial underneath. my bust measurement is",5,1,1,General,Jackets,Outerwear
22550,22550,1098,66,"Quality look, sizing off.","This dress either runs large or just has too much fabric. ordered my usual size, but it is too long and too baggy to do a thing for me. embroidery pretty, but background is more of a muddy gray, then denim as shown. if the smaller size in petite was available, i'd have exchanged it, but it is going back.",2,0,1,General,Dresses,Dresses
6702,6702,1100,51,Swing dress,"This dress is made well and fit nice. i am 64"" and 135 lbs. i really wanted it keep it but it is going back. the colors in person are much more muted and with my pale blonde hair and fair skin the color was all wrong.",4,1,0,General,Dresses,Dresses
15188,15188,831,40,Love this blouse,"This blouse is gorgeous, i purchased in two colors and absolutely love it. just a side note i normally wear a size small blouse or size 4-6 blouse, in this i went up a size and purchased the medium.",5,1,0,General Petite,Tops,Blouses
8844,8844,1094,33,Great fit!,"I love this flirty, well fitted dress! quality material!",5,1,0,General,Dresses,Dresses
2642,2642,945,35,Nice fit - super cute,"This top fits exactly like the last photo, which was my hope. it is not as slim as the other images. it's a swing top and the arm holes are perfect size, and the mock turtleneck is not too high. the fabric is thick, so will be perfect transitioning from summer to fall.",5,1,4,General,Tops,Sweaters
6176,6176,880,45,Perfection,"Gorgeous colors, great neckline (can be worn off one shoulder), the slits on the side allow for wear as tunic or as half tucked. very cute.",5,1,0,General,Tops,Knits
12560,12560,883,44,Loved this cute tank,This fit me perfectly. i'm petite and it is a little long but i like the length. it's perfect! so cute,5,1,0,General Petite,Tops,Knits
14302,14302,886,62,Perfect and at the right price!,"In my opinion, the quality and uniqueness of this piece far definitely warrants a full price purchase. adorable cut and style, comfortable and cute. it's the perfect flexible top to wear to work with a skirt or more casually with your favorite pair of jeans. love this!",5,1,2,General,Tops,Knits
18370,18370,1150,68,Cool ohio,"Just got this dress and am very pleased.  fell in love with the bright color in the store and then came home ordered it at a great sale price!!  color is as shown...beautiful lace trim at the bottom.....back longer than front as described and pockets!!  i am 5'2"" and length on a large comes to just below the knees..in front....i may wear leggings under it...dont like the slip as it is far too tight...will wear a tee or turtle under it..  quality heavier fabric. roomy... linen and cotton.",5,1,0,General,Dresses,Dresses
6454,6454,895,42,Great cardigan,Purchased this in green and love the color. it drapes well - not too long on me and hung just past my hips. it has very thin sleeves as other review mentioned to cannot wear anything bulky underneath. overall very happy with this purchase.,5,1,3,General Petite,Tops,Fine gauge
22636,22636,1081,40,,,5,1,0,General,Dresses,Dresses
15542,15542,482,31,Simple but large,"I normally wear a medium with these types of fabrics but this one was oddly proportioned on me. the skirt was also not very flattering to my hourglass figure, but it at least fit well. the top was baggy and gaped at the armpits as stated by others. i really wanted to like this dress but it made me look 20 pounds heavier even in the places it looked too big on me. i could have tried going with a small but the skirt would have then been too short.",2,0,4,Initmates,Intimate,Lounge
8279,8279,1060,43,Perfect,"I am 5'7, the length is perfect, i can wear it with flat. normally the wide leg pants are so long, i have to wear high heels. the flow is perfect too.",5,1,3,General Petite,Bottoms,Pants
6797,6797,967,36,Great jacket,"This is one of the cutest jackets i have ever owned. nice soft material. i have a steamer so won't have to iron this, depends on how picky you'd be about that. great cut. ordered my normal size. sending another jacket back that luckily i hadn't worn yet. i know between the two, i will always pick this one. didn't find the sleeves too long which was good as no petite option. seriously so excited to wear this. :)",5,1,5,General,Jackets,Jackets
14403,14403,1078,45,Bad lining,"I ordered this dress in my usual sz 2 it seemed to be tight on the hips , then i tried the next sz 4 and it was tight because ,i realized that the lining was very sticky, and would bunch up underneath making the dress look defective on me, not for curvy on bottom. i think if you are more slim down below this will maybe work but i had to return for this reason. i was considering cutting out the lining because it was so cute, and i really liked the look of the dress, if it goes on sale i may purch",2,0,4,General Petite,Dresses,Dresses
17084,17084,1068,50,Not for average height women,"I am 5' and 3/4"" tall. too ""tall"" for most petite pants and too short for regular pants. these ran a little big. i weigh @140 lbs. and have been wearing mostly 28s and 29s, which is what i ordered. the 29s were a tad too big around the waist. the 28 fit but were so long that they looked like clown pants on me. i am in the conundrum that i can never find cropped pants that fit because i am in between petite and regular height sizing. these were a perfect example. they both went back. loved the qu",4,0,0,General,Bottoms,Pants
16085,16085,1068,36,,"These are beautiful pants - pretty basic, but comfy and you can dress them up. they definitely run large in both length and waist. i'm 5'10"" and having a little bit of a platform or heel is helpful.",4,1,0,General Petite,Bottoms,Pants
12071,12071,1059,52,Perfect jumpsuit for all sizes,"I have an upside-down triangle shape. i am a 4/6 on the bottom and a 10/12 on top. i have a short waist. i have very slim hips and virtually no waist. so, a typical jumpsuit or romper really doesn't fit me. this one is the exception! likely because it ties in the back, but the s fit me perfectly. the bottom half is easy, but not oversized. the top half of the jumpsuit is adjustable, so there is no issue with size. i am 36c on top, but i think that i could pull off the top, without a bra. you can",5,1,1,General Petite,Bottoms,Pants
15632,15632,940,33,Favorite retailer purchase of the whole year!,"This sweater vest is the best! it is so versatile! i've already worn it over a dress and recieved compliments all day. the knit is substantial without being to thin or heavy. i love the little flecks of color in the yarn as well! it makes coordinating easy. i thought the faux fur might be too overwhelming or hot, but thankfully it's not at all. runs true to size. worth full price!",5,1,1,General,Tops,Sweaters
483,483,833,39,,I tried this on in store and since my usual size 6 wasn't available i tried on a 4. it was a little snug in the upper sleeves and shoulders but was lovely otherwise. i passed on it and waited for it to go on sale to order it online. i got it in my usual size 6 but it seemed to me like it was 2 sizes bigger than the 4. i have decided to keep it but i just wasn't thrilled with the fit.,4,1,1,General,Tops,Blouses
20930,20930,868,60,Cute very oversized t-shirt,"This is a cute waffle t-shirt material is very thin and see-through it's a cute shape and style but it runs absolutely huge 
 is not a shirt for petite people
 the extra extra small was huge",4,1,2,General,Tops,Knits
13027,13027,1082,51,Perfect dress,Love this dress! it can be worn in cold or warm weather with tights and boots or sandals and bare legs. the fit is roomy and a little longer in back. it washes nicely without losing length.,5,1,0,General,Dresses,Dresses
9193,9193,1126,52,Wanted to love this,"I had my eye on this coat for so long. when i saw it was on sale and an extra 30% off i decided to go for it. i ignored the reviews that said it ran big and took a chance and sadly it did not pay off. this jacket is very heavy so if you are going to get it on sale, it will probably go into the closet for next winter. it was very boxy on me and tied at the waist, made my upper half look huge. it was just not flattering at all. the heaviness of it also made the big open neck a little annoying and",4,0,0,General Petite,Jackets,Outerwear
4611,4611,1014,55,Nice fall florida skirt,"I am usually between a 8 and a 10 and was an 8 in this skirt, it is very nice because it has so many soft colors in it and will go with anything. i live in florida so for me this is a fall skirt! i like the look of a wrap and it is not a wrap it fits great.",5,1,1,General Petite,Bottoms,Skirts
5594,5594,974,33,Boxy and gapes but thick and well made,I love the look and design of this piece but the fit is awkward. the m gapes open and is much boxier than it looks on the model but the s is too tight in the elbows. i think i might have to return it :(,4,1,0,General Petite,Jackets,Jackets
22772,22772,1086,41,,A little long but very comfortable. i've worn it to work and to a bridal shower so very versatile.,5,1,0,General Petite,Dresses,Dresses
12754,12754,876,36,Classy meets simple,I love this shirt! it fits great and looks awesome with shorts or skinny jeans. i love the beads on the shoulders. i liked it so much that i ordered it in 2 colors.,5,1,0,General,Tops,Knits
4307,4307,1081,63,,"Great, stylish, swinging dress. softly draped fabric, so comfy to wear....very slimming and figure flattering.",5,1,0,General Petite,Dresses,Dresses
7618,7618,912,40,Too disproportionate,"I love belted sweaters, but this was way too low in front. it hung almost to my knees in front. i'm not a fan of that look.",3,0,0,General Petite,Tops,Fine gauge
3999,3999,1055,29,Perfect work pants for warm weather,"These fit much better than expected. they are made of a very comfortable lightweight fabric. not very substantial, but they will be great for the summer. i was worried that they would be too roomy in the hip area, but the cut is rather flattering. such a great deal at the sale price.",4,1,0,General Petite,Bottoms,Pants
2272,2272,1173,68,Girly bra,"I am usually a 32a. i ended up with a 34 b based on sales assoc input and what was available. the 32 gave me back fat ( i do not have back fat) so she said the 34 would be better, it ran small etc. the 34 also fit ( had to be ordered and mailed) but it still gave me ""flab"" over the back band. comparing it to my other regular bras, i can see that the band has too thin fabric and rolls and has ""harder edges"" compared to wider , thicker band on my other bras. very pretty but i will be returning. sa",4,1,0,Initmates,Intimate,Intimates
14400,14400,1078,28,,This dress has a very flattering cut and the style is very cute. i ordered a 4 petite and i typically wear a 2 or 4 regularly. the 4 petite was a great length (above the knee but not inappropriate). i wore to a bridal shower and received a lot of compliments!,5,1,5,General Petite,Dresses,Dresses
3872,3872,860,21,Love it!,"Got this top in white and the rust color. other reviewers mentioned it being much too large, so i went with the xs instead of my usual small. it's slightly oversized, but i love that look, and it's still flattering on me. i also didn't find there to be too much fabric. i am very tall and am happy with the length of this. 34b, 126 lbs, 5'10""",5,1,0,General,Tops,Knits
